epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,441.245,1.0174,0.63427,1.09042,0.96851,0.99153,0.99354,0.72768,1.02007,0.58032,1.19281,0.0014258,0.0014258,0.0014258
147,444.469,0.98058,0.61754,1.06032,0.95804,0.98305,0.9925,0.7132,0.9939,0.63296,1.14897,0.00142184,0.00142184,0.00142184
148,447.525,0.95395,0.62772,1.05933,0.92803,0.98343,0.99103,0.69943,1.00804,0.64029,1.17817,0.00141788,0.00141788,0.00141788
149,450.551,1.02879,0.62637,1.07999,0.97479,0.98313,0.9938,0.69949,1.02067,0.6208,1.20244,0.00141392,0.00141392,0.00141392
150,453.657,0.99572,0.63345,1.07922,0.96226,0.98305,0.99159,0.70212,1.05785,0.6129,1.23315,0.00140996,0.00140996,0.00140996
151,456.743,0.99033,0.62058,1.07375,0.97788,0.9661,0.99243,0.71159,1.03757,0.59991,1.20709,0.001406,0.001406,0.001406
152,459.878,0.99508,0.62319,1.06229,0.95704,0.97458,0.98881,0.71103,1.01921,0.60336,1.21547,0.00140204,0.00140204,0.00140204
153,462.904,0.97527,0.64088,1.06779,0.94879,0.98305,0.98973,0.70637,1.00607,0.59013,1.2296,0.00139808,0.00139808,0.00139808
154,465.998,0.9457,0.60198,1.04924,0.96646,0.97677,0.99127,0.72269,0.99503,0.5876,1.21877,0.00139412,0.00139412,0.00139412
155,469.219,0.97476,0.5902,1.05347,0.9507,0.98305,0.99063,0.71885,1.00129,0.57592,1.20374,0.00139016,0.00139016,0.00139016
156,472.217,0.9495,0.58696,1.03889,0.96684,0.98845,0.99195,0.71349,0.99013,0.58281,1.18738,0.0013862,0.0013862,0.0013862
157,475.32,1.02353,0.64177,1.07819,0.9749,0.98767,0.99467,0.72235,1.01148,0.58647,1.19071,0.00138224,0.00138224,0.00138224
158,478.343,1.0142,0.62659,1.06417,0.99159,0.97458,0.99406,0.70498,1.08277,0.60438,1.26754,0.00137828,0.00137828,0.00137828
159,481.511,0.95823,0.61988,1.06868,0.97496,0.99011,0.99449,0.73511,1.00092,0.56747,1.19377,0.00137432,0.00137432,0.00137432
160,484.621,0.94546,0.59379,1.04541,0.97498,0.9908,0.99383,0.71407,1.06454,0.58784,1.2384,0.00137036,0.00137036,0.00137036
161,487.659,1.02982,0.64792,1.07501,0.9746,1,0.99458,0.72817,1.00762,0.55558,1.20066,0.0013664,0.0013664,0.0013664
162,490.62,0.96539,0.60515,1.06504,0.9818,0.99153,0.99475,0.71209,1.01211,0.55302,1.19745,0.00136244,0.00136244,0.00136244
163,493.666,0.97868,0.60976,1.06931,0.97491,0.9881,0.99257,0.73082,0.99445,0.56812,1.1861,0.00135848,0.00135848,0.00135848
164,496.87,0.98687,0.61098,1.04665,0.96422,0.99153,0.99051,0.73097,0.98361,0.56038,1.16859,0.00135452,0.00135452,0.00135452
165,499.857,0.97001,0.63516,1.04822,0.96693,0.99153,0.99357,0.72149,0.99266,0.57551,1.16703,0.00135056,0.00135056,0.00135056
166,502.959,0.93277,0.5979,1.03059,0.97643,0.98305,0.99441,0.7179,1.0004,0.56944,1.18517,0.0013466,0.0013466,0.0013466
167,505.909,0.99456,0.61237,1.06464,0.98311,0.98649,0.99432,0.72119,1.01655,0.54937,1.19052,0.00134264,0.00134264,0.00134264
168,508.989,0.98638,0.61565,1.06399,0.99833,0.97458,0.99382,0.74646,0.94981,0.56332,1.15947,0.00133868,0.00133868,0.00133868
169,511.985,0.98744,0.61704,1.07426,0.99145,0.98268,0.99434,0.74524,0.94103,0.56425,1.14831,0.00133472,0.00133472,0.00133472
