epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,10052.6,0.40457,0.47037,0.42252,1.01295,0.99306,0.99972,0.99475,0.86335,0.99306,0.99972,0.99475,0.84022,0.61314,0.33813,0.57612,1.06673,0.000693125,0.000693125,0.000693125
47,10268.1,0.39793,0.44989,0.41136,1.00939,0.97565,0.99161,0.99374,0.83531,0.97565,0.99161,0.99374,0.81036,0.71464,0.35035,0.63047,1.19654,0.00068075,0.00068075,0.00068075
48,10482.6,0.38167,0.43827,0.40021,0.99716,0.98531,0.99042,0.99471,0.86111,0.98531,0.99042,0.99471,0.84455,0.62637,0.36292,0.57664,1.05639,0.000668375,0.000668375,0.000668375
49,10697.9,0.3984,0.46835,0.41278,1.00112,0.99617,1,0.995,0.84448,0.99194,0.99576,0.99136,0.75282,0.67996,0.53241,0.59213,1.03955,0.000656,0.000656,0.000656
50,10915,0.39674,0.48856,0.41024,1.00427,0.98135,0.99461,0.995,0.86392,0.98135,0.99461,0.995,0.83637,0.62268,0.33957,0.5583,1.04954,0.000643625,0.000643625,0.000643625
51,11128.4,0.38648,0.46061,0.40211,0.99908,0.9931,1,0.995,0.85466,0.97614,0.98305,0.97394,0.83419,0.653,0.37094,0.54422,1.05786,0.00063125,0.00063125,0.00063125
52,11342.5,0.38874,0.44909,0.39645,0.99354,0.99358,0.99576,0.99446,0.86924,0.99358,0.99576,0.99446,0.84666,0.5943,0.33008,0.53944,1.06138,0.000618875,0.000618875,0.000618875
53,11556.2,0.38877,0.4729,0.38846,1.01773,0.96254,0.99722,0.9908,0.85293,0.96254,0.99722,0.9908,0.8502,0.62721,0.33963,0.55153,1.10904,0.0006065,0.0006065,0.0006065
54,11770.2,0.37821,0.43426,0.38299,0.99225,0.98571,1,0.99475,0.86776,0.98147,0.99576,0.99033,0.83775,0.60456,0.37036,0.5572,1.05054,0.000594125,0.000594125,0.000594125
55,11983.1,0.37177,0.44629,0.36631,0.98966,0.98694,0.99872,0.99467,0.84905,0.98694,0.99872,0.99467,0.84653,0.65238,0.34797,0.5429,1.07109,0.00058175,0.00058175,0.00058175
